

lambda(m), Y
1.565e-06, 0.946172
1.5649e-06, 0.948722
1.5648e-06, 0.949704
1.56469e-06, 0.951586
1.56459e-06, 0.95679
1.56449e-06, 0.964479
1.56439e-06, 0.970775
1.56428e-06, 0.972362
1.56418e-06, 0.969424
1.56408e-06, 0.964731
1.56398e-06, 0.960301
1.56388e-06, 0.955781
1.56377e-06, 0.950179
1.56367e-06, 0.944296
1.56357e-06, 0.940484
1.56347e-06, 0.940009
1.56336e-06, 0.94144
1.56326e-06, 0.942189
1.56316e-06, 0.941314
1.56306e-06, 0.940192
1.56296e-06, 0.940449
1.56285e-06, 0.941887
1.56275e-06, 0.942918
1.56265e-06, 0.942689
1.56255e-06, 0.94205
1.56245e-06, 0.942272
1.56234e-06, 0.943354
1.56224e-06, 0.944146
1.56214e-06, 0.943948
1.56204e-06, 0.943374
1.56194e-06, 0.943417
1.56184e-06, 0.944086
1.56173e-06, 0.944451
1.56163e-06, 0.943939
1.56153e-06, 0.94304
1.56143e-06, 0.942525
1.56133e-06, 0.94232
1.56122e-06, 0.941583
1.56112e-06, 0.939792
1.56102e-06, 0.937286
1.56092e-06, 0.934523
1.56082e-06, 0.931138
1.56072e-06, 0.926109
1.56061e-06, 0.91872
1.56051e-06, 0.908973
1.56041e-06, 0.897057
1.56031e-06, 0.883081
1.56021e-06, 0.867969
1.56011e-06, 0.854452
1.56e-06, 0.846307
1.5599e-06, 0.845855
1.5598e-06, 0.852099
1.5597e-06, 0.861624
1.5596e-06, 0.871393
1.5595e-06, 0.880485
1.55939e-06, 0.889267
1.55929e-06, 0.897579
1.55919e-06, 0.904414
1.55909e-06, 0.909279
1.55899e-06, 0.913077
1.55889e-06, 0.9171
1.55878e-06, 0.921415
1.55868e-06, 0.924891
1.55858e-06, 0.9269
1.55848e-06, 0.928375
1.55838e-06, 0.930698
1.55828e-06, 0.933854
1.55818e-06, 0.936402
1.55807e-06, 0.937473
1.55797e-06, 0.938146
1.55787e-06, 0.940213
1.55777e-06, 0.943797
