

lambda(m), Y
1.565e-06, 0.991925
1.56472e-06, 0.992806
1.56444e-06, 0.993793
1.56416e-06, 0.994901
1.56388e-06, 0.995287
1.5636e-06, 0.98574
1.56332e-06, 0.960267
1.56304e-06, 0.97317
1.56276e-06, 0.98105
1.56248e-06, 0.984995
1.5622e-06, 0.987289
1.56192e-06, 0.988641
1.56164e-06, 0.989213
1.56136e-06, 0.988885
1.56108e-06, 0.987288
1.5608e-06, 0.98375
1.56052e-06, 0.977585
1.56024e-06, 0.970045
1.55997e-06, 0.966933
1.55969e-06, 0.971205
1.55941e-06, 0.977681
1.55913e-06, 0.982745
1.55885e-06, 0.986114
1.55857e-06, 0.988341
1.55829e-06, 0.989916
1.55802e-06, 0.991174
1.55774e-06, 0.99234
1.55746e-06, 0.993575
1.55718e-06, 0.994997
1.5569e-06, 0.996618
1.55663e-06, 0.997687
1.55635e-06, 0.989743
1.55607e-06, 0.957838
1.55579e-06, 0.97138
1.55552e-06, 0.981128
1.55524e-06, 0.98586
1.55496e-06, 0.988474
1.55469e-06, 0.989896
1.55441e-06, 0.990367
1.55413e-06, 0.989796
1.55386e-06, 0.987795
1.55358e-06, 0.983622
1.5533e-06, 0.976584
1.55303e-06, 0.968664
1.55275e-06, 0.966758
1.55247e-06, 0.972151
1.5522e-06, 0.978616
1.55192e-06, 0.983334
1.55165e-06, 0.986468
1.55137e-06, 0.988637
1.55109e-06, 0.990296
1.55082e-06, 0.991736
1.55054e-06, 0.993135
1.55027e-06, 0.99461
1.54999e-06, 0.996223
1.54972e-06, 0.99791
1.54944e-06, 0.998832
1.54917e-06, 0.991129
1.54889e-06, 0.955719
1.54862e-06, 0.970682
1.54834e-06, 0.982186
1.54807e-06, 0.987344
1.54779e-06, 0.989944
1.54752e-06, 0.991163
1.54724e-06, 0.991322
1.54697e-06, 0.990355
1.5467e-06, 0.987842
1.54642e-06, 0.98295
1.54615e-06, 0.975038
1.54587e-06, 0.967154
1.5456e-06, 0.966985
1.54533e-06, 0.973367
1.54505e-06, 0.979681
1.54478e-06, 0.98409
1.54451e-06, 0.987075
1.54423e-06, 0.989249
1.54396e-06, 0.991009
1.54369e-06, 0.992585
1.54341e-06, 0.9941
1.54314e-06, 0.995614
1.54287e-06, 0.997124
1.5426e-06, 0.998468
1.54232e-06, 0.99868
1.54205e-06, 0.990652
1.54178e-06, 0.954922
1.54151e-06, 0.971404
1.54123e-06, 0.984074
1.54096e-06, 0.989136
1.54069e-06, 0.991368
1.54042e-06, 0.992153
1.54015e-06, 0.991868
1.53987e-06, 0.990442
1.5396e-06, 0.987396
1.53933e-06, 0.981771
1.53906e-06, 0.973075
1.53879e-06, 0.965836
1.53852e-06, 0.96779
1.53825e-06, 0.974883
1.53798e-06, 0.980936
1.5377e-06, 0.985074
1.53743e-06, 0.987953
1.53716e-06, 0.990132
1.53689e-06, 0.991935
1.53662e-06, 0.993528
1.53635e-06, 0.994987
1.53608e-06, 0.996321
1.53581e-06, 0.997471
1.53554e-06, 0.9982
1.53527e-06, 0.997486
1.535e-06, 0.989217


