

lambda(m), Y
1.565e-06, 0.972457
1.5649e-06, 0.97311
1.5648e-06, 0.978537
1.56469e-06, 0.984951
1.56459e-06, 0.975104
1.56449e-06, 0.895298
1.56439e-06, 0.84436
1.56428e-06, 0.898495
1.56418e-06, 0.928177
1.56408e-06, 0.940889
1.56398e-06, 0.945149
1.56388e-06, 0.949806
1.56377e-06, 0.954963
1.56367e-06, 0.957063
1.56357e-06, 0.957653
1.56347e-06, 0.959834
1.56336e-06, 0.962239
1.56326e-06, 0.962755
1.56316e-06, 0.962994
1.56306e-06, 0.964561
1.56296e-06, 0.965829
1.56285e-06, 0.965684
1.56275e-06, 0.965748
1.56265e-06, 0.96669
1.56255e-06, 0.966827
1.56245e-06, 0.965678
1.56234e-06, 0.964594
1.56224e-06, 0.963297
1.56214e-06, 0.959705
1.56204e-06, 0.952777
1.56194e-06, 0.94133
1.56184e-06, 0.919483
1.56173e-06, 0.873361
1.56163e-06, 0.778137
1.56153e-06, 0.635844
1.56143e-06, 0.607336
1.56133e-06, 0.714712
1.56122e-06, 0.805908
1.56112e-06, 0.860309
1.56102e-06, 0.891976
1.56092e-06, 0.910846
1.56082e-06, 0.923803
1.56072e-06, 0.933756
1.56061e-06, 0.940482
1.56051e-06, 0.944922
1.56041e-06, 0.949369
1.56031e-06, 0.953703
1.56021e-06, 0.956256
1.56011e-06, 0.958026
1.56e-06, 0.961113
1.5599e-06, 0.964264
1.5598e-06, 0.965467
1.5597e-06, 0.966817
1.5596e-06, 0.97066
1.5595e-06, 0.974113
1.55939e-06, 0.974729
1.55929e-06, 0.977253
1.55919e-06, 0.984397
1.55909e-06, 0.977175
1.55899e-06, 0.876113
1.55889e-06, 0.871249
1.55878e-06, 0.911485
1.55868e-06, 0.932298
1.55858e-06, 0.944674
1.55848e-06, 0.949231
1.55838e-06, 0.951721
1.55828e-06, 0.95579
1.55818e-06, 0.958882
1.55807e-06, 0.959566
1.55797e-06, 0.960536
1.55787e-06, 0.962782
1.55777e-06, 0.96408
1.55767e-06, 0.96409
1.55757e-06, 0.964838
1.55747e-06, 0.966273
1.55737e-06, 0.966613
1.55726e-06, 0.966212
1.55716e-06, 0.966522
1.55706e-06, 0.966792
1.55696e-06, 0.965597
1.55686e-06, 0.963481
1.55676e-06, 0.960865
1.55666e-06, 0.955679
1.55656e-06, 0.945026
1.55645e-06, 0.925085
1.55635e-06, 0.884707
1.55625e-06, 0.797595
1.55615e-06, 0.648612
1.55605e-06, 0.589448
1.55595e-06, 0.698127
1.55585e-06, 0.798413
1.55575e-06, 0.855755
1.55565e-06, 0.889248
1.55554e-06, 0.910416
1.55544e-06, 0.923534
1.55534e-06, 0.932235
1.55524e-06, 0.939558
1.55514e-06, 0.945411
1.55504e-06, 0.949003
1.55494e-06, 0.951952
1.55484e-06, 0.955631
1.55474e-06, 0.958582
1.55463e-06, 0.959966
1.55453e-06, 0.961857
1.55443e-06, 0.965039
1.55433e-06, 0.967138
1.55423e-06, 0.967833
1.55413e-06, 0.97031
1.55403e-06, 0.974668
1.55393e-06, 0.976854
1.55383e-06, 0.977476
1.55373e-06, 0.982115
1.55363e-06, 0.975627
1.55353e-06, 0.868497
1.55342e-06, 0.891825
1.55332e-06, 0.923241
1.55322e-06, 0.936759
1.55312e-06, 0.946912
1.55302e-06, 0.95248
1.55292e-06, 0.954355
1.55282e-06, 0.9567
1.55272e-06, 0.959864
1.55262e-06, 0.961402
1.55252e-06, 0.961782
1.55242e-06, 0.96313
1.55232e-06, 0.964865
1.55222e-06, 0.965363
1.55212e-06, 0.965426
1.55201e-06, 0.966351
1.55191e-06, 0.967191
1.55181e-06, 0.966874
1.55171e-06, 0.966313
1.55161e-06, 0.966118
1.55151e-06, 0.964971
1.55141e-06, 0.961827
1.55131e-06, 0.956781
1.55121e-06, 0.948227
1.55111e-06, 0.930752
1.55101e-06, 0.893603
1.55091e-06, 0.81307
1.55081e-06, 0.662979
1.55071e-06, 0.576475
1.55061e-06, 0.681957
1.55051e-06, 0.790711
1.55041e-06, 0.853326
1.55031e-06, 0.887966
1.55021e-06, 0.908823
1.55011e-06, 0.922995
1.55001e-06, 0.932678
1.54991e-06, 0.939067
1.5498e-06, 0.944208
1.5497e-06, 0.948944
1.5496e-06, 0.952362
1.5495e-06, 0.954586
1.5494e-06, 0.957173
1.5493e-06, 0.960092
1.5492e-06, 0.961872
1.5491e-06, 0.963025
1.549e-06, 0.965359
1.5489e-06, 0.968101
1.5488e-06, 0.969327
1.5487e-06, 0.970537
1.5486e-06, 0.974262
1.5485e-06, 0.97832
1.5484e-06, 0.979384
1.5483e-06, 0.980136
1.5482e-06, 0.96823
1.5481e-06, 0.872937
1.548e-06, 0.906484
1.5479e-06, 0.932442
1.5478e-06, 0.941831
1.5477e-06, 0.94888
1.5476e-06, 0.954572
1.5475e-06, 0.95693
1.5474e-06, 0.958165
1.5473e-06, 0.960561
1.5472e-06, 0.962664
1.5471e-06, 0.963216
1.547e-06, 0.963807
1.5469e-06, 0.965315
1.5468e-06, 0.96628
1.5467e-06, 0.966242
1.5466e-06, 0.966565
1.5465e-06, 0.967329
1.5464e-06, 0.967182
1.5463e-06, 0.966143
1.5462e-06, 0.965094
1.5461e-06, 0.963181
1.546e-06, 0.958583
1.5459e-06, 0.950135
1.5458e-06, 0.934584
1.5457e-06, 0.901471
1.5456e-06, 0.826541
1.5455e-06, 0.676188
1.5454e-06, 0.565708
1.5453e-06, 0.669001
1.5452e-06, 0.78466
1.5451e-06, 0.850268
1.545e-06, 0.887308
1.5449e-06, 0.909102
1.5448e-06, 0.922388
1.54471e-06, 0.931936
1.54461e-06, 0.939444
1.54451e-06, 0.944521
1.54441e-06, 0.948049
1.54431e-06, 0.951671
1.54421e-06, 0.955016
1.54411e-06, 0.957008
